personalidad|性格／個性|sustantivo|人間関係
comportamiento|行動／振る舞い|sustantivo|人間関係
actitud|態度|sustantivo|人間関係
confianza|信頼／自信|sustantivo|人間関係
respeto|尊敬／配慮|sustantivo|人間関係
paciencia|忍耐|sustantivo|人間関係
relación|関係|sustantivo|人間関係
pareja|パートナー／カップル|sustantivo|人間関係
amistad|友情|sustantivo|人間関係
discusión|議論／口論|sustantivo|人間関係
acuerdo|合意|sustantivo|意見
desacuerdo|不一致／反対|sustantivo|意見
opinión|意見|sustantivo|意見
experiencia|経験|sustantivo|経験
recuerdo|思い出／記憶|sustantivo|経験
sueño|夢／眠気|sustantivo|感情
miedo|恐怖|sustantivo|感情
vergüenza|恥ずかしさ|sustantivo|感情
sorpresa|驚き|sustantivo|感情
alegría|喜び|sustantivo|感情
tristeza|悲しみ|sustantivo|感情
enfado|怒り|sustantivo|感情
preocupación|心配|sustantivo|感情
estrés|ストレス|sustantivo|感情
ánimo|気力／気分|sustantivo|感情
sentimiento|感情|sustantivo|感情
decisión|決定|sustantivo|思考
costumbre|習慣|sustantivo|生活
cambio|変化／変更|sustantivo|変化
oportunidad|機会|sustantivo|経験
empresa|企業|sustantivo|仕事
oficina|事務所|sustantivo|仕事
empleo|雇用／職|sustantivo|仕事
puesto|職／地位|sustantivo|仕事
sueldo|給料|sustantivo|仕事
contrato|契約|sustantivo|仕事
horario|時間割／営業時間|sustantivo|仕事
reunión|会議／集まり|sustantivo|仕事
entrevista|面接／インタビュー|sustantivo|仕事
carrera|学位課程／経歴|sustantivo|教育
profesión|職業|sustantivo|仕事
formación|教育／研修|sustantivo|教育
curso|講座／コース|sustantivo|教育
asignatura|科目|sustantivo|教育
título|資格／題名|sustantivo|教育
diploma|卒業証書／資格証|sustantivo|教育
beca|奨学金|sustantivo|教育
matrícula|入学登録／授業料|sustantivo|教育
deberes|宿題／義務|sustantivo|教育
examen|試験|sustantivo|教育
aprobar|合格する／承認する|verbo|教育
suspender|不合格になる／中断する|verbo|教育
investigar|調査する|verbo|教育
presentar|紹介する／提出する|verbo|仕事
solicitar|申請する|verbo|仕事
contratar|雇う／契約する|verbo|仕事
despedir|解雇する／見送る|verbo|仕事
jubilarse|退職する|verbo|仕事
colaborar|協力する|verbo|仕事
habilidad|能力／技能|sustantivo|仕事
transporte|交通／輸送|sustantivo|交通
tráfico|交通／渋滞|sustantivo|交通
atasco|交通渋滞|sustantivo|交通
carretera|道路|sustantivo|交通
autopista|高速道路|sustantivo|交通
semáforo|信号機|sustantivo|交通
cruce|交差点／横断|sustantivo|交通
acera|歩道|sustantivo|交通
barrio|地区／街区|sustantivo|都市
edificio|建物|sustantivo|都市
ayuntamiento|市役所|sustantivo|都市
comisaría|警察署|sustantivo|都市
alojamiento|宿泊施設|sustantivo|旅行
hostal|簡易宿泊所|sustantivo|旅行
camping|キャンプ場／キャンプ|sustantivo|旅行
excursión|遠足／小旅行|sustantivo|旅行
destino|目的地|sustantivo|旅行
ruta|道順／ルート|sustantivo|旅行
guía|案内人／ガイドブック|sustantivo|旅行
frontera|国境|sustantivo|旅行
extranjero|外国人／外国の|sustantivo|旅行
moneda|硬貨／通貨|sustantivo|旅行
efectivo|現金|sustantivo|旅行
cajero automático|ATM|sustantivo|旅行
retraso|遅延|sustantivo|旅行
salida|出口／出発|sustantivo|旅行
llegada|到着|sustantivo|旅行
andén|ホーム|sustantivo|旅行
ida y vuelta|往復|expresión|旅行
vuelo|航空便|sustantivo|旅行
enfermedad|病気|sustantivo|健康
fiebre|発熱|sustantivo|健康
tos|咳|sustantivo|健康
resfriado|風邪|sustantivo|健康
gripe|インフルエンザ|sustantivo|健康
herida|傷|sustantivo|健康
accidente|事故|sustantivo|健康
enfermero|看護師|sustantivo|健康
paciente|患者|sustantivo|健康
medicina|薬／医学|sustantivo|健康
pastilla|錠剤|sustantivo|健康
receta|処方箋／レシピ|sustantivo|健康
tratamiento|治療|sustantivo|健康
seguro médico|医療保険|sustantivo|健康
urgencias|救急外来|sustantivo|健康
ambulancia|救急車|sustantivo|健康
operación|手術／操作|sustantivo|健康
análisis|検査／分析|sustantivo|健康
dieta|食事療法／食生活|sustantivo|健康
ejercicio|運動／練習問題|sustantivo|健康
descansar|休む|verbo|健康
doler|痛む|verbo|健康
recuperarse|回復する|verbo|健康
prevenir|予防する|verbo|健康
cuidar|世話する／気をつける|verbo|健康
sano|健康な|adjetivo|健康
enfermo|病気の|adjetivo|健康
grave|重い／深刻な|adjetivo|健康
leve|軽い／軽度の|adjetivo|健康
alergia|アレルギー|sustantivo|健康
medio ambiente|環境|sustantivo|環境
contaminación|汚染|sustantivo|環境
clima|気候|sustantivo|環境
temperatura|温度|sustantivo|環境
tormenta|嵐|sustantivo|天候
viento|風|sustantivo|天候
lluvia|雨|sustantivo|天候
nieve|雪|sustantivo|天候
nube|雲|sustantivo|天候
sol|太陽|sustantivo|天候
bosque|森|sustantivo|自然
río|川|sustantivo|自然
lago|湖|sustantivo|自然
mar|海|sustantivo|自然
campo|田舎／野原|sustantivo|自然
isla|島|sustantivo|自然
animal|動物|sustantivo|自然
planta|植物／階|sustantivo|自然
árbol|木|sustantivo|自然
flor|花|sustantivo|自然
basura|ごみ|sustantivo|環境
reciclaje|リサイクル|sustantivo|環境
electricidad|電気|sustantivo|環境
recurso|資源／手段|sustantivo|環境
ahorrar|節約する|verbo|環境
proteger|守る|verbo|環境
destruir|破壊する|verbo|環境
reducir|減らす|verbo|環境
reutilizar|再利用する|verbo|環境
sostenible|持続可能な|adjetivo|環境
noticia|ニュース|sustantivo|メディア
periódico|新聞|sustantivo|メディア
revista|雑誌|sustantivo|メディア
artículo|記事／品物|sustantivo|メディア
anuncio|広告／告知|sustantivo|メディア
publicidad|広告|sustantivo|メディア
televisión|テレビ|sustantivo|メディア
radio|ラジオ|sustantivo|メディア
programa|番組／プログラム|sustantivo|メディア
serie|シリーズ／連続ドラマ|sustantivo|メディア
película|映画|sustantivo|メディア
documental|ドキュメンタリー|sustantivo|メディア
reportaje|特集記事／ルポ|sustantivo|メディア
periodista|記者|sustantivo|メディア
prensa|報道機関|sustantivo|メディア
información|情報|sustantivo|メディア
comunicación|コミュニケーション|sustantivo|メディア
red social|SNS|sustantivo|テクノロジー
aplicación|アプリケーション|sustantivo|テクノロジー
pantalla|画面|sustantivo|テクノロジー
teclado|キーボード|sustantivo|テクノロジー
contraseña|パスワード|sustantivo|テクノロジー
archivo|ファイル|sustantivo|テクノロジー
descargar|ダウンロードする|verbo|テクノロジー
compartir|共有する|verbo|テクノロジー
publicar|公開する|verbo|メディア
buscar|探す／検索する|verbo|テクノロジー
navegar|航行する／ネットを見る|verbo|テクノロジー
conexión|接続|sustantivo|テクノロジー
usuario|利用者|sustantivo|テクノロジー
sociedad|社会|sustantivo|社会
gobierno|政府|sustantivo|社会
ley|法律|sustantivo|社会
derecho|権利／法律|sustantivo|社会
obligación|義務|sustantivo|社会
permiso|許可|sustantivo|社会
prohibición|禁止|sustantivo|社会
norma|規則|sustantivo|社会
seguridad|安全／治安|sustantivo|社会
policía|警察|sustantivo|社会
ciudadano|市民|sustantivo|社会
población|人口／住民|sustantivo|社会
comunidad|共同体／地域社会|sustantivo|社会
cultura|文化|sustantivo|社会
tradición|伝統|sustantivo|社会
religión|宗教|sustantivo|社会
economía|経済|sustantivo|社会
crisis|危機|sustantivo|社会
