# カテゴリ定義: id|group|label|description
# group は pos（品詞）と topic（場面・テーマ）の2種類。
number|pos|数詞|一・二・百など、数を表す語
measure|pos|量詞（助数詞）|个・本・张など、数を数えるときの単位
pronoun|pos|代名詞|我・你・这・自己など、人や物を指す語
question|pos|疑問詞|什么・谁・怎么など、たずねるときの語
verb|pos|動詞|吃・去・做など、動作や行為を表す語
adjective|pos|形容詞|高い・低いなど、様子や性質を表す語
adverb|pos|副詞|很・都・已经など、動作や様子を修飾する語
modal|pos|助動詞|会・能・可以・应该など、できる／すべきを表す語
preposition|pos|介詞（前置詞）|在・从・跟・把など、名詞の前に置く語
conjunction|pos|接続詞|和・但是・因为など、文や語をつなぐ語
particle|pos|助詞・語気詞|的・了・吗・吧など、文法の働きをする語
degree|pos|程度・比較|很・非常・比・最など、程度や比べ方を表す語
greeting|topic|あいさつ・決まり文句|你好・谢谢・对不起など、そのまま使える表現
family|topic|家族|爸爸・妈妈・哥哥など、家族と親族の呼び方
people|topic|人・職業|医生・服务员・同事など、人を表す語
food|topic|食べ物・飲み物|菜・米饭・咖啡など、食事とレストランの語
shopping|topic|買い物・お金|买・钱・便宜など、店とお金の語
travel|topic|旅行・交通|飞机・车票・宾馆など、移動と旅行の語
time|topic|時間・日付|今天・星期・小时など、時をあらわす語
school|topic|学校・勉強|学生・考试・作业など、学びの場の語
language|topic|ことば・表現|汉语・句子・意思など、言葉そのものに関する語
work|topic|仕事・オフィス|公司・会议・经理など、働く場面の語
home|topic|家・住まい|房间・桌子・厨房など、家の中の語
daily|topic|毎日の生活|起床・洗澡・打扫など、日課と習慣の語
body|topic|体・健康|眼睛・感冒・医院など、体調と体の部位
weather|topic|天気・季節・自然|天气・雪・春など、自然と季節の語
color|topic|色|红・蓝・颜色など、色に関する語
direction|topic|方位・場所|上・里・旁边・东など、位置を示す語
emotion|topic|気持ち・感情|高兴・生气・担心など、感情を表す語
thinking|topic|考え・意見|觉得・决定・相信など、考えを伝える語
hobby|topic|趣味・スポーツ|唱歌・游泳・音乐など、余暇と運動の語
tech|topic|電話・IT・メディア|手机・上网・新闻など、通信と情報の語
animal|topic|動物|猫・狗・熊猫など、動物の語
clothes|topic|服・身につける物|衣服・鞋・眼镜など、着る物と持ち物
