# HSK1のラベル: id|hanzi|tags（カンマ区切り、1語につき1つ以上）
hsk1-001|爱|verb,emotion
hsk1-002|八|number
hsk1-003|爸爸|family
hsk1-004|杯子|food,home
hsk1-005|北京|travel
hsk1-006|本|measure
hsk1-007|不|adverb
hsk1-008|不客气|greeting
hsk1-009|菜|food
hsk1-010|茶|food
hsk1-011|吃|verb,food
hsk1-012|出租车|travel
hsk1-013|打电话|verb,tech
hsk1-014|大|adjective
hsk1-015|的|particle
hsk1-016|点|measure,time
hsk1-017|电脑|tech
hsk1-018|电视|tech
hsk1-019|电影|hobby
hsk1-020|东西|shopping
hsk1-021|都|adverb
hsk1-022|读|verb,school
hsk1-023|对不起|greeting
hsk1-024|多|adjective,degree
hsk1-025|多少|question,degree
hsk1-026|儿子|family
hsk1-027|二|number
hsk1-028|饭馆|food
hsk1-029|飞机|travel
hsk1-030|分钟|measure,time
hsk1-031|高兴|adjective,emotion
hsk1-032|个|measure
hsk1-033|工作|verb,work
hsk1-034|狗|animal
hsk1-035|汉语|language
hsk1-036|好|adjective
hsk1-037|喝|verb,food
hsk1-038|和|conjunction
hsk1-039|很|adverb,degree
hsk1-040|后面|direction
hsk1-041|回|verb,travel
hsk1-042|会|modal
hsk1-043|火车站|travel
hsk1-044|几|question,number
hsk1-045|家|home,family
hsk1-046|叫|verb,greeting
hsk1-047|她|pronoun
hsk1-048|今天|time
hsk1-049|九|number
hsk1-050|开|verb
hsk1-051|看|verb
hsk1-052|看见|verb
hsk1-053|块|measure,shopping
hsk1-054|来|verb
hsk1-055|老师|people,school
hsk1-056|冷|adjective,weather
hsk1-057|里|direction
hsk1-058|了|particle
hsk1-059|零|number
hsk1-060|六|number
hsk1-061|妈妈|family
hsk1-062|吗|particle,question
hsk1-063|买|verb,shopping
hsk1-064|猫|animal
hsk1-065|没|adverb
hsk1-066|没关系|greeting
hsk1-067|米饭|food
hsk1-068|名字|people,greeting
hsk1-069|明天|time
hsk1-070|哪（哪儿）|question,pronoun
hsk1-071|那（那儿）|pronoun
hsk1-072|呢|particle
hsk1-073|能|modal
hsk1-074|你|pronoun
hsk1-075|年|measure,time
hsk1-076|女儿|family
hsk1-077|朋友|family,people
hsk1-078|漂亮|adjective
hsk1-079|苹果|food
hsk1-080|七|number
hsk1-081|前面|direction
hsk1-082|钱|shopping
hsk1-083|请|verb,greeting
hsk1-084|去|verb,travel
hsk1-085|热|adjective,weather
hsk1-086|人|people
hsk1-087|认识|verb,people
hsk1-088|日|time
hsk1-089|三|number
hsk1-090|商店|shopping
hsk1-091|上|direction
hsk1-092|上午|time
hsk1-093|少|adjective,degree
hsk1-094|十|number
hsk1-095|什么|question
hsk1-096|时候|time
hsk1-097|是|verb
hsk1-098|书|school
hsk1-099|谁|question,pronoun
hsk1-100|水|food
hsk1-101|水果|food
hsk1-102|睡觉|verb,daily
hsk1-103|说话|verb,language
hsk1-104|四|number
hsk1-105|岁|measure,time
hsk1-106|他|pronoun
hsk1-107|太|adverb,degree
hsk1-108|天气|weather
hsk1-109|听|verb
hsk1-110|同学|people,school
hsk1-111|喂|greeting,tech
hsk1-112|我|pronoun
hsk1-113|我们|pronoun
hsk1-114|五|number
hsk1-115|喜欢|verb,emotion
hsk1-116|下|direction
hsk1-117|下午|time
hsk1-118|下雨|verb,weather
hsk1-119|先生|people,greeting
hsk1-120|现在|time
hsk1-121|想|modal,thinking
hsk1-122|小|adjective
hsk1-123|小姐|people,greeting
hsk1-124|些|measure,degree
hsk1-125|写|verb,school
hsk1-126|谢谢|greeting
hsk1-127|星期|time
hsk1-128|学生|people,school
hsk1-129|学习|verb,school
hsk1-130|学校|school
hsk1-131|一|number
hsk1-132|衣服|clothes
hsk1-133|医生|people,body
hsk1-134|医院|body
hsk1-135|椅子|home
hsk1-136|有|verb
hsk1-137|月|time
hsk1-138|再见|greeting
hsk1-139|在|preposition,verb
hsk1-140|怎么|question
hsk1-141|怎么样|question
hsk1-142|这（这儿）|pronoun
hsk1-143|中国|travel
hsk1-144|中午|time
hsk1-145|住|verb,home
hsk1-146|桌子|home
hsk1-147|字|language,school
hsk1-148|昨天|time
hsk1-149|坐|verb,travel
hsk1-150|做|verb
